Detector;Year;Doctype;Publisher;Venue;Title;Citations;Altmetric;All Tips;Tortured Phrases;Assessor;PubPeer Users
scigen;2012;article;Trans Tech Publications;Applied Mechanics and Materials;Towards the Visualization of XML;0;0;29;–;Cabanac & Labbé (JASIST);–
scigen;2012;proceeding;AIP Publishing;AIP Conference Proceedings;On the study of voice-over-IP;0;0;29;–;Cabanac;Alexander Magazinov
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 2nd IEEE International Conference on Information Management and Engineering;Research and Improvement for Business Delegate Pattern in J2EE Applications;0;0;29;–;Cabanac & Labbé (JASIST);–
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);A Methodology for the Analysis of Congestion Control;0;0;29;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 3rd International Conference on Machinery, Materials and Information Technology Applications;Decoupling 802.11 Mesh Networks from Model Checking in Courseware;0;0;28;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;–;Towards the Evaluation of Suffix Trees;0;0;28;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;A Methodology for the Exploration of 802.11B;0;0;28;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 Second International Conference on Communication Software and Networks;Implementation of Embedded Mobile Database Based on Mobile Agent;0;0;28;–;Cabanac & Labbé (JASIST);–
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);The Impact of Client-Server Technology on Cyberinformatics;0;0;28;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
clayFeet, scigen;2021;article;Elsevier;Procedia Computer Science;Towards the Analysis networks of Redundancy with Von Neumann Machines And RPCs;0;0;27;–;Cabanac;Elaphoglossum Callifolium, Zen Faulkes
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 International Symposium on Computers & Informatics;Enabling Consistent Hashing Using Distributed Theory;0;0;27;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Decoupling Boolean Logic from Boolean Logic in the Producer-Consumer Problem;0;0;27;–;Cabanac & Labbé (JASIST);–
scigen;2011;article;Trans Tech Publications;Applied Mechanics and Materials;Certifiable Theory for Lambda calculus;0;0;27;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 International Conference on Data Storage and Data Engineering;A Novel Wavelet Image Compression Method Based on Zerotree Codec;0;0;27;–;Cabanac & Labbé (JASIST);–
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;A methodology for the refinement of information retrieval systems;0;0;27;–;Cabanac & Labbé (JASIST);–
scigen;2018;proceeding;Association for Computing Machinery (ACM);Proceedings of the 2018 International Conference on Information Hiding and Image Processing;Comparing Congestion Control and Hierarchical Databases on statistical networks;0;0;26;–;Cabanac & Labbé (JASIST);Elaphoglossum Callifolium, Guillaume Cabanac, Alexander Magazinov, Plakarthrium Typicum
scigen;2016;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Towards the Exploration of Hash Tables;0;0;26;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Comparing 128 Bit Architectures and Web Services;0;0;26;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;–;ALB: A Methodology for the Simulation of the Producer-Consumer Problem;0;0;26;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;"Refining the Location-Identity Split Using ""Fuzzy"" Algorithms";0;0;26;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Contrasting Meteorological Wide-Area Networks and Evolutionary Programming;0;0;26;–;Cabanac;–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Decoupling Access Points from Symmetric Encryption in B-Trees;0;0;26;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;An Evaluation of I/O Automata;0;0;26;–;Cabanac;–
scigen;2011;article;Trans Tech Publications;–;Simulating Write-Ahead Logging and Virtual Machines Using HEW;0;0;26;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 Second International Conference on Computer Modeling and Simulation;Research on the Visual Image Processing Based on Neural Network;3;0;26;–;Cabanac & Labbé (JASIST);–
scigen;2018;article;IOP Publishing;IOP Conference Series Materials Science and Engineering;Decoupling Evolutionary Programming from Gigabit Switches in Neural Networks;0;6;25;–;Cabanac & Labbé (JASIST);Elaphoglossum Callifolium, Microtus Agrestis
scigen;2016;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Towards the Analysis of Hierarchical Databases;0;0;25;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Towards the Improvement of Replication;1;0;25;–;Cabanac & Labbé (JASIST);–
scigen, suspect;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Decoupling Replication from the Producer Consumer Problem in Internet QoS;0;0;25;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;A Case for Model Checking;0;0;25;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;A Study on the Hardware Configuration Impact on Client-Server;0;0;25;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;The Mode of Self-Learning Information;0;0;25;–;Cabanac & Labbé (JASIST);–
scigen;2011;article;Trans Tech Publications;Applied Mechanics and Materials;Controlling the Ethernet and Moore's Law with Flete;0;0;25;–;Cabanac & Labbé (JASIST);–
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;The influence of omniscient technology on cryptography;0;0;25;–;Cabanac & Labbé (JASIST);–
scigen;2018;article;ZIbeline International Publishing;INFORMATION MANAGEMENT AND COMPUTER SCIENCE;ANALYZING WRITE-AHEAD LOGGING USING DECENTRALIZED INFORMATION;0;0;24;–;Cabanac & Labbé (JASIST);–
scigen;2016;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Olf: Self-Learning, Probabilistic Technology;0;0;24;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 3rd International Conference on Machinery, Materials and Information Technology Applications;Deconstructing Multi-Processors with Dasymeter;0;0;24;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Active Networks Considered Harmful;0;0;24;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Deconstructing Redundancy Using PilousGnu;0;0;24;–;Cabanac & Labbé (JASIST);–
clayFeet, scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Decoupling Information Retrieval Systems from Internet QoS in SMPs;0;0;24;–;Cabanac & Labbé (JASIST);–
scigen;2014;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2014 IEEE Workshop on Advanced Research and Technology in Industry Applications (WARTIA);Notice of Retraction: A study on connection of simulating public-private key pairs and SCSI disks;0;0;24;–;Cabanac & Labbé (JASIST);–
scigen;2013;article;Trans Tech Publications;Applied Mechanics and Materials;Deploying Robots and Online Algorithms;0;0;24;–;Cabanac;–
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 International Industrial Informatics and Computer Engineering Conference;Investigating the Turing Machine Using Bayesian Models;0;0;23;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2nd International Seminar of Science and Applied Technology (ISSAT 2021);Certifiable, Compact Models for Smalltalk;0;0;23;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;English Research Based on Big Data and Data Mining;1;0;23;–;Cabanac;SeekAndBlastn Operators
scigen;2012;article;Trans Tech Publications;Applied Mechanics and Materials;Deconstructing Forward-Error Correction;0;0;23;–;Cabanac & Labbé (JASIST);Hoya Camphorifolia
scigen;2016;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);A Methodology for the Simulation of Scheme;0;0;22;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;article;Trans Tech Publications;Applied Mechanics and Materials;A Study on the Application of Deconstructing Byzantine Fault Tolerance;0;0;22;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Visualizing Interrupts and Replication with Timer;0;0;22;–;Cabanac & Labbé (JASIST);–
scigen;2012;article;Trans Tech Publications;Applied Mechanics and Materials;Improving Web Browsers Using Bayesian Theory;0;0;22;–;Cabanac & Labbé (JASIST);–
scigen;2012;proceeding;AIP Publishing;AIP Conference Proceedings;On the extensive unification of digital-to-analog converters and kernels;0;0;22;–;Cabanac;Alexander Magazinov
scigen;2009;article;–;2009 Asia-Pacific Conference on Information Processing;Study on Application of A Case for Robots;0;0;22;–;Cabanac & Labbé (JASIST);–
scigen;2009;preprint;Elsevier;SSRN Electronic Journal;Decoupling Lambda Calculus from B-Trees in Context-Free Grammar;0;0;22;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;article;Institute of Advanced Engineering and Science;Indonesian Journal of Electrical Engineering and Computer Science;Investigating the Ethernet and Boolean Logic;1;0;21;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;proceeding;Atlantis Press;Proceedings of the 2016 International Conference on Education, Management, Computer and Society;A Methodology for the Development of Redundancy;0;0;21;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;–;A Methodology for the Emulation of Context-Free Grammar;0;0;21;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;–;Studying Sensor Networks and Multicast Algorithms with TACKY;0;0;21;–;Cabanac & Labbé (JASIST);–
clayFeet, scigen;2021;preprint;–;arXiv;Estimate The Efficiency Of Multiprocessor's Cash Memory Work Algorithms;0;1;20;–;Cabanac;Guillaume Cabanac
scigen;2016;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Visualizing Expert Systems Using Client-Server Technology;0;0;20;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2013;article;Trans Tech Publications;Applied Mechanics and Materials;Analysis of a System;0;0;20;–;Cabanac & Labbé (JASIST);–
scigen;2013;article;Trans Tech Publications;Applied Mechanics and Materials;Analysis of Markov Models;0;0;20;–;Cabanac & Labbé (JASIST);–
scigen;2012;article;Trans Tech Publications;Applied Mechanics and Materials;Deconstructing Web Services;0;0;20;–;Cabanac & Labbé (JASIST);–
scigen;2010;article;Trans Tech Publications;Applied Mechanics and Materials;Application of Probabilistic and Interactive Information in Verifying Machine System and Kernels Based on Relational Modality;0;0;20;–;Cabanac & Labbé (JASIST);–
scigen;2012;article;Trans Tech Publications;Applied Mechanics and Materials;Decoupling IPv7 from Replication in Link-Level Acknowledgements;0;0;19;–;Cabanac & Labbé (JASIST);–
scigen;2011;proceeding;Institute of Electrical and Electronics Engineers (IEEE);Proceedings of 2011 International Conference on Electronics and Optoelectronics;A Novel Deployment of Multicast Applications;0;0;19;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 International Conference on Networking and Digital Society;Application Research for the Investigation of RAID based on A Methodology;0;0;19;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 International Conference on Computer and Communication Technologies in Agriculture Engineering;Performance Analysis of Communication System using AVOSET;0;0;19;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 The 2nd Conference on Environmental Science and Information Application Technology;Study on Redundancy Refinement in Autonomous Algorithms and Cooperative Methodologies Based on Evolutionary Programming;0;0;19;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;The Impact of Lossless Information on Algorithms;0;0;18;–;Cabanac & Labbé (JASIST);–
scigen;2013;proceeding;AIP Publishing;AIP Conference Proceedings;Compact modalities for forward-error correction;0;0;18;–;Cabanac;Alexander Magazinov
